Date,Type,Category,Description,Amount,To Account,From Account,,,,,
2025-12-11,Expense, Other,,76,,HSBC_Nalanda,,,,,
2025-12-11,Expense, Education,,82,,HSBC_Nalanda,,,,,
2025-12-11,Expense, Salary,,71,,HSBC_Nalanda,,,,,
2025-12-11,Expense, Insurance,,58,,HSBC_Nalanda,,,,,
2025-12-11,Expense, Insurance,,78,,HSBC_SJ,,,,,
2025-12-11,Expense, Insurance,,77,,HSBC_SJ,,,,,
2025-12-11,Expense, Education,,52,,HSBC_SJ,,,,,
2025-12-11,Income, Savings,,59,,HSBC_SJ,,,,,
2025-12-11,Expense, Utilities,,58,,HSBC_SJ,,,,,
2025-12-11,Expense, Utilities,,86,,HSBC_SJ,,,,,
2025-12-11,Expense, Utilities,,93,,HSBC_SJ,,,,,
2025-12-11,Expense, Insurance,,60,,HSBC_SJ,,,,,
2025-12-11,Transfer, Utilities,,92,Revolut_SJ,HSBC_SJ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
